wage_eur,age,height_cm,weight_kg,nationality_name,overall,potential,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
125000.0,34.0,188.0,82.0,b'France',87.0,87.0,13.0,10.0,10.0,50.0,11.0,10.0,11.0,10.0,50.0,34.0,61.0,62.0,55.0,85.0,54.0,10.0,18.0,88.0,83.0,65.0,84.0,90.0
190000.0,35.0,172.0,66.0,b'Croatia',87.0,87.0,86.0,72.0,55.0,91.0,76.0,85.0,85.0,78.0,89.0,90.0,76.0,70.0,91.0,88.0,92.0,75.0,71.0,13.0,9.0,7.0,14.0,9.0
160000.0,33.0,180.0,69.0,b'Argentina',87.0,87.0,88.0,79.0,51.0,84.0,78.0,88.0,91.0,88.0,82.0,87.0,83.0,83.0,94.0,84.0,76.0,55.0,52.0,10.0,7.0,11.0,12.0,11.0
105000.0,31.0,195.0,90.0,b'Poland',87.0,87.0,12.0,12.0,16.0,32.0,14.0,11.0,16.0,14.0,36.0,22.0,51.0,47.0,55.0,82.0,51.0,13.0,12.0,86.0,82.0,73.0,87.0,88.0
140000.0,31.0,185.0,76.0,b'Germany',87.0,87.0,85.0,88.0,81.0,85.0,84.0,77.0,81.0,59.0,79.0,84.0,66.0,67.0,73.0,94.0,71.0,57.0,46.0,6.0,7.0,11.0,14.0,14.0
125000.0,31.0,185.0,85.0,b'Italy',87.0,87.0,55.0,91.0,81.0,80.0,85.0,80.0,70.0,51.0,53.0,83.0,84.0,87.0,75.0,90.0,85.0,33.0,32.0,6.0,8.0,15.0,12.0,6.0
220000.0,28.0,191.0,84.0,b'France',87.0,87.0,77.0,75.0,74.0,88.0,84.0,88.0,85.0,82.0,92.0,90.0,63.0,77.0,73.0,83.0,67.0,67.0,63.0,5.0,6.0,2.0,4.0,3.0
155000.0,28.0,165.0,60.0,b'Italy',87.0,87.0,82.0,60.0,57.0,90.0,64.0,91.0,85.0,64.0,89.0,92.0,68.0,60.0,91.0,87.0,94.0,82.0,84.0,12.0,12.0,15.0,15.0,10.0
135000.0,27.0,183.0,75.0,b'Brazil',87.0,90.0,68.0,51.0,88.0,84.0,35.0,69.0,58.0,32.0,85.0,79.0,81.0,81.0,69.0,87.0,67.0,89.0,89.0,6.0,6.0,12.0,10.0,13.0
140000.0,26.0,189.0,82.0,b'Germany',87.0,88.0,75.0,82.0,86.0,86.0,69.0,84.0,76.0,75.0,84.0,87.0,78.0,83.0,76.0,88.0,71.0,85.0,77.0,13.0,8.0,15.0,11.0,9.0
160000.0,27.0,177.0,75.0,b'Argentina',87.0,88.0,82.0,85.0,59.0,87.0,88.0,90.0,90.0,88.0,79.0,93.0,88.0,80.0,92.0,80.0,94.0,41.0,39.0,5.0,4.0,4.0,5.0,8.0
175000.0,27.0,178.0,64.0,b'Scotland',87.0,88.0,88.0,55.0,67.0,82.0,32.0,81.0,82.0,71.0,76.0,83.0,83.0,85.0,78.0,85.0,74.0,84.0,81.0,11.0,8.0,10.0,7.0,14.0
210000.0,24.0,180.0,74.0,b'Netherlands',87.0,92.0,78.0,72.0,72.0,91.0,70.0,88.0,84.0,64.0,87.0,89.0,80.0,82.0,88.0,88.0,79.0,76.0,77.0,7.0,13.0,10.0,10.0,9.0
150000.0,22.0,180.0,69.0,b'England',87.0,92.0,92.0,60.0,69.0,86.0,62.0,78.0,87.0,85.0,90.0,86.0,77.0,80.0,73.0,82.0,73.0,83.0,79.0,14.0,15.0,14.0,6.0,7.0
150000.0,21.0,180.0,76.0,b'England',87.0,91.0,82.0,83.0,38.0,87.0,83.0,92.0,84.0,65.0,70.0,90.0,85.0,78.0,91.0,85.0,90.0,39.0,32.0,7.0,11.0,10.0,11.0,13.0
170000.0,24.0,187.0,82.0,b'Portugal',87.0,91.0,54.0,29.0,87.0,81.0,32.0,64.0,46.0,48.0,74.0,74.0,57.0,65.0,59.0,87.0,56.0,89.0,85.0,7.0,8.0,13.0,7.0,12.0
88000.0,36.0,187.0,85.0,b'Italy',86.0,86.0,63.0,33.0,77.0,65.0,45.0,57.0,60.0,31.0,67.0,57.0,67.0,69.0,53.0,80.0,57.0,89.0,88.0,3.0,3.0,2.0,4.0,3.0
78000.0,36.0,193.0,92.0,b'Slovenia',86.0,86.0,12.0,10.0,10.0,42.0,12.0,18.0,20.0,14.0,40.0,21.0,45.0,50.0,47.0,79.0,36.0,10.0,13.0,81.0,81.0,65.0,92.0,87.0
95000.0,32.0,191.0,96.0,b'Germany',86.0,86.0,65.0,57.0,88.0,82.0,61.0,69.0,66.0,53.0,86.0,79.0,47.0,64.0,61.0,88.0,62.0,90.0,86.0,15.0,6.0,10.0,5.0,6.0
200000.0,32.0,170.0,68.0,b'Spain',86.0,86.0,85.0,73.0,70.0,85.0,60.0,81.0,80.0,63.0,79.0,85.0,87.0,86.0,90.0,80.0,85.0,78.0,80.0,13.0,15.0,13.0,6.0,13.0
180000.0,30.0,174.0,70.0,b'Spain',86.0,86.0,78.0,68.0,54.0,90.0,82.0,90.0,85.0,77.0,89.0,92.0,72.0,55.0,91.0,84.0,90.0,71.0,68.0,6.0,11.0,7.0,9.0,13.0
200000.0,32.0,189.0,76.0,b'Spain',86.0,86.0,62.0,67.0,68.0,87.0,44.0,81.0,66.0,68.0,85.0,86.0,40.0,43.0,67.0,86.0,50.0,82.0,81.0,5.0,8.0,13.0,9.0,13.0
64000.0,32.0,182.0,74.0,b'Spain',86.0,86.0,86.0,83.0,61.0,92.0,72.0,82.0,88.0,90.0,90.0,86.0,52.0,49.0,63.0,80.0,72.0,70.0,69.0,5.0,9.0,12.0,14.0,8.0
88000.0,29.0,197.0,86.0,b'Belgium',86.0,87.0,15.0,15.0,14.0,35.0,13.0,14.0,20.0,13.0,37.0,23.0,44.0,46.0,50.0,83.0,43.0,19.0,17.0,85.0,83.0,80.0,84.0,87.0
125000.0,30.0,163.0,59.0,b'Italy',86.0,86.0,77.0,76.0,59.0,87.0,74.0,90.0,87.0,86.0,84.0,93.0,90.0,84.0,89.0,79.0,93.0,24.0,22.0,8.0,4.0,14.0,9.0,10.0
105000.0,30.0,187.0,89.0,b'Senegal',86.0,86.0,30.0,22.0,84.0,63.0,14.0,69.0,28.0,28.0,63.0,64.0,74.0,87.0,51.0,83.0,34.0,88.0,86.0,7.0,11.0,7.0,13.0,5.0
180000.0,28.0,191.0,81.0,b'France',86.0,88.0,42.0,46.0,86.0,78.0,42.0,55.0,46.0,52.0,76.0,78.0,79.0,85.0,62.0,84.0,39.0,88.0,87.0,11.0,11.0,9.0,5.0,14.0
220000.0,30.0,179.0,67.0,b'Algeria',86.0,86.0,81.0,81.0,48.0,83.0,76.0,91.0,85.0,78.0,75.0,91.0,84.0,79.0,92.0,81.0,88.0,31.0,22.0,15.0,9.0,13.0,11.0,6.0
73000.0,29.0,180.0,77.0,b'Spain',86.0,86.0,77.0,89.0,82.0,81.0,81.0,86.0,75.0,62.0,75.0,85.0,80.0,78.0,77.0,89.0,70.0,41.0,41.0,15.0,12.0,7.0,12.0,10.0
180000.0,34.0,179.0,74.0,b'England',86.0,86.0,69.0,90.0,79.0,74.0,84.0,78.0,68.0,60.0,60.0,82.0,85.0,85.0,76.0,91.0,76.0,52.0,54.0,15.0,14.0,7.0,15.0,11.0
165000.0,27.0,188.0,78.0,b'Brazil',86.0,88.0,75.0,63.0,75.0,84.0,47.0,78.0,71.0,53.0,82.0,81.0,65.0,68.0,64.0,86.0,64.0,87.0,85.0,13.0,12.0,6.0,8.0,8.0
185000.0,27.0,182.0,74.0,b'Portugal',86.0,87.0,86.0,68.0,72.0,85.0,62.0,85.0,84.0,69.0,78.0,85.0,86.0,84.0,80.0,85.0,78.0,82.0,80.0,6.0,9.0,15.0,14.0,14.0
185000.0,27.0,191.0,85.0,b'Spain',86.0,89.0,58.0,45.0,84.0,82.0,40.0,63.0,61.0,69.0,80.0,78.0,59.0,67.0,57.0,87.0,60.0,87.0,86.0,10.0,11.0,5.0,14.0,5.0
120000.0,25.0,180.0,76.0,b'France',86.0,87.0,79.0,75.0,61.0,80.0,77.0,89.0,83.0,70.0,74.0,88.0,94.0,93.0,91.0,85.0,84.0,27.0,21.0,5.0,3.0,5.0,3.0,5.0
200000.0,26.0,173.0,64.0,b'Portugal',86.0,87.0,85.0,77.0,51.0,86.0,70.0,92.0,84.0,67.0,76.0,90.0,83.0,77.0,94.0,84.0,92.0,63.0,45.0,9.0,10.0,14.0,12.0,9.0
95000.0,26.0,184.0,74.0,b'Spain',86.0,89.0,74.0,81.0,67.0,86.0,64.0,82.0,73.0,58.0,83.0,84.0,86.0,90.0,82.0,86.0,69.0,80.0,74.0,13.0,6.0,6.0,11.0,15.0
175000.0,25.0,191.0,82.0,b'Spain',86.0,89.0,63.0,64.0,78.0,85.0,59.0,78.0,65.0,54.0,83.0,82.0,60.0,62.0,65.0,80.0,65.0,84.0,78.0,10.0,10.0,7.0,14.0,8.0
150000.0,26.0,188.0,80.0,b'Slovakia',86.0,88.0,40.0,42.0,81.0,72.0,40.0,67.0,34.0,30.0,49.0,72.0,76.0,84.0,54.0,86.0,56.0,88.0,82.0,10.0,13.0,12.0,8.0,12.0
51000.0,33.0,167.0,68.0,b'Argentina',85.0,85.0,83.0,77.0,38.0,85.0,72.0,85.0,85.0,79.0,80.0,86.0,91.0,83.0,93.0,86.0,93.0,30.0,34.0,8.0,11.0,12.0,9.0,6.0
115000.0,34.0,189.0,89.0,b'Denmark',85.0,85.0,18.0,12.0,16.0,44.0,15.0,12.0,13.0,15.0,46.0,40.0,45.0,51.0,61.0,82.0,47.0,14.0,13.0,84.0,78.0,80.0,83.0,90.0
105000.0,36.0,183.0,79.0,b'Brazil',85.0,85.0,60.0,40.0,81.0,80.0,61.0,67.0,62.0,61.0,80.0,79.0,52.0,54.0,67.0,82.0,66.0,86.0,84.0,9.0,12.0,5.0,9.0,10.0
44000.0,35.0,173.0,67.0,b'Spain',85.0,85.0,83.0,72.0,53.0,90.0,82.0,86.0,82.0,77.0,83.0,90.0,70.0,57.0,84.0,85.0,89.0,53.0,29.0,6.0,15.0,7.0,6.0,12.0
40000.0,32.0,183.0,79.0,b'Switzerland',85.0,85.0,13.0,13.0,10.0,40.0,8.0,15.0,12.0,13.0,31.0,25.0,48.0,54.0,55.0,82.0,58.0,19.0,12.0,79.0,81.0,84.0,86.0,86.0
190000.0,34.0,185.0,77.0,b'Uruguay',85.0,85.0,68.0,89.0,88.0,75.0,86.0,74.0,76.0,74.0,52.0,81.0,64.0,68.0,68.0,90.0,57.0,48.0,39.0,12.0,5.0,13.0,13.0,10.0
240000.0,30.0,175.0,74.0,b'Belgium',85.0,85.0,77.0,78.0,61.0,85.0,82.0,89.0,83.0,79.0,81.0,88.0,86.0,82.0,87.0,79.0,89.0,27.0,22.0,11.0,12.0,6.0,8.0,8.0
110000.0,34.0,190.0,85.0,b'Italy',85.0,85.0,44.0,48.0,83.0,81.0,58.0,69.0,56.0,60.0,81.0,79.0,60.0,68.0,59.0,82.0,53.0,85.0,81.0,2.0,2.0,3.0,2.0,4.0
87000.0,31.0,191.0,86.0,b'Hungary',85.0,85.0,16.0,10.0,23.0,35.0,10.0,19.0,18.0,11.0,31.0,25.0,42.0,44.0,41.0,81.0,42.0,16.0,20.0,85.0,84.0,76.0,82.0,86.0
185000.0,30.0,180.0,80.0,b'Germany',85.0,85.0,78.0,80.0,50.0,88.0,75.0,86.0,86.0,80.0,85.0,89.0,66.0,65.0,77.0,86.0,77.0,75.0,67.0,11.0,14.0,5.0,5.0,13.0
95000.0,32.0,180.0,71.0,b'Germany',85.0,85.0,85.0,84.0,44.0,85.0,85.0,85.0,88.0,85.0,79.0,86.0,76.0,71.0,83.0,86.0,82.0,38.0,54.0,12.0,12.0,13.0,13.0,11.0
170000.0,31.0,183.0,83.0,b'England',85.0,85.0,77.0,51.0,74.0,79.0,57.0,79.0,76.0,71.0,77.0,81.0,89.0,94.0,66.0,85.0,69.0,84.0,83.0,12.0,6.0,16.0,15.0,8.0
145000.0,32.0,187.0,80.0,b'Gabon',85.0,85.0,76.0,89.0,73.0,77.0,83.0,79.0,81.0,76.0,64.0,81.0,87.0,91.0,77.0,86.0,67.0,29.0,36.0,6.0,9.0,15.0,9.0,9.0
90000.0,29.0,176.0,75.0,b'Spain',85.0,85.0,85.0,72.0,61.0,86.0,56.0,80.0,85.0,76.0,84.0,83.0,72.0,69.0,73.0,88.0,82.0,81.0,70.0,14.0,12.0,5.0,10.0,13.0
220000.0,30.0,176.0,73.0,b'France',85.0,85.0,83.0,84.0,83.0,84.0,86.0,85.0,86.0,85.0,82.0,89.0,80.0,80.0,92.0,89.0,83.0,54.0,49.0,14.0,8.0,14.0,13.0,14.0
145000.0,29.0,189.0,78.0,b'Netherlands',85.0,85.0,49.0,25.0,84.0,75.0,27.0,66.0,45.0,16.0,71.0,75.0,69.0,74.0,61.0,85.0,59.0,87.0,85.0,8.0,10.0,7.0,14.0,13.0
185000.0,29.0,181.0,76.0,b'Brazil',85.0,85.0,73.0,78.0,78.0,84.0,83.0,89.0,81.0,65.0,76.0,90.0,77.0,77.0,85.0,86.0,86.0,64.0,42.0,8.0,11.0,9.0,6.0,10.0
220000.0,27.0,176.0,78.0,b'Netherlands',85.0,86.0,84.0,83.0,65.0,81.0,74.0,86.0,85.0,83.0,76.0,85.0,81.0,83.0,80.0,83.0,81.0,31.0,20.0,8.0,14.0,6.0,12.0,10.0
210000.0,29.0,173.0,73.0,b'Spain',85.0,85.0,82.0,51.0,72.0,83.0,49.0,78.0,76.0,47.0,74.0,83.0,79.0,80.0,79.0,83.0,81.0,82.0,84.0,13.0,13.0,15.0,9.0,15.0
170000.0,29.0,180.0,68.0,b'Italy',85.0,85.0,75.0,64.0,56.0,92.0,71.0,79.0,75.0,76.0,89.0,87.0,61.0,50.0,77.0,82.0,72.0,81.0,71.0,14.0,7.0,13.0,14.0,8.0
110000.0,25.0,176.0,77.0,b'Germany',85.0,86.0,74.0,86.0,42.0,82.0,83.0,88.0,74.0,62.0,78.0,83.0,90.0,77.0,87.0,86.0,88.0,44.0,43.0,14.0,10.0,10.0,9.0,7.0
100000.0,26.0,191.0,76.0,b'Serbia',85.0,87.0,64.0,80.0,86.0,85.0,74.0,84.0,80.0,78.0,85.0,86.0,66.0,70.0,62.0,83.0,63.0,79.0,74.0,7.0,10.0,7.0,16.0,7.0
120000.0,24.0,183.0,74.0,b'Nigeria',85.0,88.0,53.0,50.0,72.0,78.0,68.0,72.0,60.0,60.0,75.0,77.0,65.0,68.0,69.0,88.0,66.0,90.0,85.0,13.0,14.0,7.0,7.0,13.0
57000.0,24.0,181.0,79.0,b'Spain',85.0,89.0,82.0,84.0,60.0,83.0,74.0,85.0,77.0,71.0,73.0,85.0,83.0,81.0,83.0,81.0,80.0,32.0,30.0,10.0,6.0,10.0,13.0,11.0
145000.0,23.0,174.0,72.0,b'Argentina',85.0,89.0,56.0,85.0,87.0,78.0,88.0,83.0,78.0,43.0,73.0,85.0,86.0,83.0,86.0,89.0,89.0,31.0,44.0,11.0,8.0,8.0,8.0,13.0
150000.0,23.0,186.0,70.0,b'England',85.0,89.0,80.0,83.0,68.0,80.0,73.0,86.0,83.0,76.0,71.0,84.0,86.0,93.0,84.0,84.0,75.0,38.0,33.0,11.0,6.0,15.0,7.0,14.0
100000.0,22.0,181.0,73.0,b'Morocco',85.0,88.0,86.0,73.0,68.0,81.0,60.0,84.0,68.0,55.0,73.0,83.0,95.0,95.0,86.0,84.0,79.0,78.0,76.0,10.0,8.0,14.0,6.0,8.0
81000.0,21.0,189.0,89.0,b'Netherlands',85.0,90.0,52.0,50.0,85.0,75.0,45.0,65.0,48.0,55.0,63.0,73.0,71.0,75.0,60.0,84.0,62.0,85.0,85.0,12.0,11.0,11.0,12.0,10.0
51000.0,39.0,195.0,95.0,b'Sweden',84.0,84.0,72.0,86.0,83.0,80.0,88.0,78.0,80.0,75.0,73.0,86.0,64.0,66.0,71.0,83.0,53.0,37.0,24.0,13.0,15.0,10.0,9.0,12.0
30000.0,35.0,172.0,60.0,b'Spain',84.0,84.0,85.0,65.0,73.0,83.0,75.0,84.0,82.0,46.0,79.0,83.0,90.0,84.0,82.0,84.0,84.0,77.0,79.0,10.0,10.0,15.0,7.0,13.0
175000.0,34.0,194.0,85.0,b'Spain',84.0,84.0,57.0,65.0,84.0,80.0,57.0,63.0,58.0,43.0,80.0,80.0,50.0,64.0,57.0,85.0,35.0,85.0,83.0,10.0,11.0,14.0,15.0,8.0
105000.0,34.0,169.0,61.0,b'Belgium',84.0,84.0,73.0,84.0,40.0,84.0,70.0,88.0,82.0,82.0,72.0,88.0,90.0,80.0,93.0,80.0,92.0,40.0,40.0,7.0,10.0,8.0,10.0,4.0
115000.0,30.0,175.0,74.0,b'Netherlands',84.0,84.0,72.0,75.0,78.0,87.0,73.0,85.0,78.0,73.0,81.0,88.0,78.0,76.0,84.0,86.0,88.0,80.0,70.0,16.0,6.0,14.0,12.0,6.0
140000.0,31.0,182.0,80.0,b'England',84.0,84.0,82.0,73.0,65.0,85.0,71.0,78.0,80.0,74.0,87.0,83.0,67.0,66.0,69.0,85.0,68.0,81.0,76.0,7.0,13.0,7.0,9.0,13.0
43000.0,33.0,183.0,76.0,b'Brazil',84.0,84.0,62.0,54.0,74.0,84.0,56.0,71.0,65.0,53.0,79.0,78.0,65.0,67.0,70.0,83.0,62.0,85.0,83.0,7.0,5.0,9.0,3.0,5.0
74000.0,30.0,173.0,69.0,b'England',84.0,84.0,86.0,54.0,79.0,81.0,58.0,74.0,86.0,82.0,80.0,82.0,74.0,73.0,73.0,81.0,77.0,81.0,80.0,11.0,14.0,8.0,11.0,10.0
46000.0,33.0,176.0,67.0,b'Spain',84.0,84.0,80.0,89.0,77.0,80.0,83.0,87.0,79.0,83.0,73.0,86.0,78.0,86.0,90.0,84.0,72.0,21.0,18.0,12.0,16.0,9.0,12.0,13.0
120000.0,30.0,192.0,82.0,b'Spain',84.0,84.0,17.0,13.0,21.0,48.0,13.0,18.0,21.0,19.0,43.0,38.0,57.0,58.0,63.0,83.0,43.0,21.0,13.0,86.0,79.0,76.0,79.0,87.0
195000.0,29.0,180.0,78.0,b'Austria',84.0,84.0,80.0,60.0,74.0,85.0,67.0,77.0,77.0,85.0,80.0,84.0,78.0,77.0,76.0,88.0,77.0,83.0,82.0,5.0,7.0,14.0,15.0,9.0
95000.0,28.0,183.0,74.0,b'Spain',84.0,84.0,69.0,77.0,49.0,92.0,76.0,85.0,86.0,79.0,90.0,91.0,61.0,59.0,69.0,74.0,83.0,58.0,52.0,6.0,8.0,6.0,12.0,11.0
32000.0,32.0,181.0,76.0,b'Serbia',84.0,84.0,86.0,83.0,66.0,87.0,80.0,85.0,85.0,79.0,80.0,87.0,67.0,70.0,76.0,83.0,84.0,34.0,26.0,11.0,11.0,14.0,9.0,16.0
88000.0,30.0,170.0,68.0,b'France',84.0,84.0,74.0,88.0,74.0,82.0,84.0,87.0,82.0,76.0,66.0,87.0,83.0,81.0,91.0,86.0,91.0,33.0,26.0,6.0,13.0,9.0,7.0,7.0
110000.0,27.0,178.0,74.0,b'France',84.0,84.0,88.0,60.0,71.0,81.0,68.0,78.0,83.0,83.0,73.0,84.0,81.0,77.0,74.0,83.0,78.0,83.0,84.0,6.0,12.0,9.0,6.0,13.0
84000.0,33.0,190.0,79.0,b'Slovenia',84.0,84.0,82.0,85.0,58.0,86.0,83.0,88.0,85.0,83.0,77.0,88.0,76.0,74.0,83.0,80.0,73.0,32.0,26.0,13.0,13.0,8.0,12.0,6.0
